id;name_product;description_product;product_price;product_aumount;sale_id
1;Acero;Asistente;cross-platform Director;wireless Ordenador;1
2;reboot Verde THX;THX;Avenida Metal navigating;partnerships Operaciones;2
3;transmitting Montserrat Bedfordshire;Malagasy de;neutral;Bicicleta;3
4;Ordenador CFP Negro;Travesía;distributed Morado JSON;Personal Acero;4
5;solutions;Polígono;invoice;Bicicleta Zapatos Avenida;5
6;sistemática;Queso Renminbi;Consultor online;productividad hacking efficient;6
7;mobile metrics;Violeta application Gris;up;systems Inteligente;7
8;Marca;Plástico Cambridgeshire;Hogar;Optimización Pollo;8
9;Usabilidad multi-byte;Informática IB;Argelia Ergonómico;Taka;9
10;wireless Práctico Soluciones;International Rincón;Hormigon Salchichas;invoice;10
